"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-27"
"TIME","18:43:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.100","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Y[S]","B[S]"
"261","1.6271E+06","11.85126E-03","10.71802E-03"
"262","1.6334E+06","11.90820E-03","10.77975E-03"
"263","1.6396E+06","11.97403E-03","10.84647E-03"
"264","1.6459E+06","12.03073E-03","10.89976E-03"
"265","1.6521E+06","12.07532E-03","10.94195E-03"
"266","1.6584E+06","12.10738E-03","10.97789E-03"
"267","1.6646E+06","12.14900E-03","11.02688E-03"
"268","1.6709E+06","12.19466E-03","11.07304E-03"
"269","1.6772E+06","12.21947E-03","11.10172E-03"
"270","1.6834E+06","12.23788E-03","11.13568E-03"
"271","1.6897E+06","12.28063E-03","11.19657E-03"
"272","1.6959E+06","12.33650E-03","11.26635E-03"
"273","1.7022E+06","12.39403E-03","11.33330E-03"
"274","1.7085E+06","12.44294E-03","11.39349E-03"
"275","1.7147E+06","12.50691E-03","11.47091E-03"
"276","1.7210E+06","12.58530E-03","11.55346E-03"
"277","1.7272E+06","12.65477E-03","11.62350E-03"
"278","1.7335E+06","12.70809E-03","11.67629E-03"
"279","1.7397E+06","12.75562E-03","11.72903E-03"
"280","1.7460E+06","12.81490E-03","11.79485E-03"
"281","1.7523E+06","12.87879E-03","11.86238E-03"
"282","1.7585E+06","12.94145E-03","11.92165E-03"
"283","1.7648E+06","12.98719E-03","11.96452E-03"
"284","1.7710E+06","13.02209E-03","12.00109E-03"
"285","1.7773E+06","13.05648E-03","12.04019E-03"
"286","1.7835E+06","13.08358E-03","12.07452E-03"
"287","1.7898E+06","13.11041E-03","12.11559E-03"
"288","1.7961E+06","13.15270E-03","12.17531E-03"
"289","1.8023E+06","13.21172E-03","12.25000E-03"
"290","1.8086E+06","13.28382E-03","12.33384E-03"
"291","1.8148E+06","13.36299E-03","12.41924E-03"
"292","1.8211E+06","13.43916E-03","12.49655E-03"
"293","1.8273E+06","13.50405E-03","12.55979E-03"
"294","1.8336E+06","13.56820E-03","12.62316E-03"
"295","1.8399E+06","13.62038E-03","12.67384E-03"
"296","1.8461E+06","13.66308E-03","12.71809E-03"
"297","1.8524E+06","13.70280E-03","12.76209E-03"
"298","1.8586E+06","13.74696E-03","12.81443E-03"
"299","1.8649E+06","13.80171E-03","12.87692E-03"
"300","1.8712E+06","13.85761E-03","12.93874E-03"
"301","1.8774E+06","13.91508E-03","13.00154E-03"
"302","1.8837E+06","13.97262E-03","13.06337E-03"
"303","1.8899E+06","14.02895E-03","13.12452E-03"
"304","1.8962E+06","14.08542E-03","13.18519E-03"
"305","1.9024E+06","14.14085E-03","13.24497E-03"
"306","1.9087E+06","14.19646E-03","13.30543E-03"
"307","1.9150E+06","14.25264E-03","13.36596E-03"
"308","1.9212E+06","14.31105E-03","13.42926E-03"
"309","1.9275E+06","14.37140E-03","13.49376E-03"
"310","1.9337E+06","14.42825E-03","13.55421E-03"
"311","1.9400E+06","14.49058E-03","13.62104E-03"
"312","1.9462E+06","14.55348E-03","13.68744E-03"
"313","1.9525E+06","14.61961E-03","13.75522E-03"
"314","1.9588E+06","14.68385E-03","13.82058E-03"
"315","1.9650E+06","14.74001E-03","13.87781E-03"
"316","1.9713E+06","14.80129E-03","13.93973E-03"
"317","1.9775E+06","14.85849E-03","13.99714E-03"
"318","1.9838E+06","14.91377E-03","14.05293E-03"
"319","1.9900E+06","14.96736E-03","14.10647E-03"
"320","1.9963E+06","15.01189E-03","14.15303E-03"
"321","2.0026E+06","15.06186E-03","14.20642E-03"
"322","2.0088E+06","15.11251E-03","14.26050E-03"
"323","2.0151E+06","15.16282E-03","14.31502E-03"
"324","2.0213E+06","15.21151E-03","14.36921E-03"
"325","2.0276E+06","15.26671E-03","14.43055E-03"
"326","2.0339E+06","15.32917E-03","14.49888E-03"
"327","2.0401E+06","15.39560E-03","14.56861E-03"
"328","2.0464E+06","15.46155E-03","14.63688E-03"
"329","2.0526E+06","15.52727E-03","14.70425E-03"
"330","2.0589E+06","15.59316E-03","14.77076E-03"
"331","2.0651E+06","15.65656E-03","14.83411E-03"
"332","2.0714E+06","15.71961E-03","14.89576E-03"
"333","2.0777E+06","15.77753E-03","14.95203E-03"
"334","2.0839E+06","15.83006E-03","15.00372E-03"
"335","2.0902E+06","15.88275E-03","15.05656E-03"
"336","2.0964E+06","15.93169E-03","15.10477E-03"
"337","2.1027E+06","15.97548E-03","15.15016E-03"
"338","2.1089E+06","16.01668E-03","15.19468E-03"
"339","2.1152E+06","16.06191E-03","15.24679E-03"
"340","2.1215E+06","16.11562E-03","15.30703E-03"
"341","2.1277E+06","16.17704E-03","15.37480E-03"
"342","2.1340E+06","16.24276E-03","15.44550E-03"
"343","2.1402E+06","16.31058E-03","15.51709E-03"
"344","2.1465E+06","16.38460E-03","15.59296E-03"
"345","2.1527E+06","16.45618E-03","15.66338E-03"
"346","2.1590E+06","16.52331E-03","15.72950E-03"
"347","2.1653E+06","16.58831E-03","15.79266E-03"
"348","2.1715E+06","16.64577E-03","15.84857E-03"
"349","2.1778E+06","16.70311E-03","15.90482E-03"
"350","2.1840E+06","16.75966E-03","15.96140E-03"
"351","2.1903E+06","16.81701E-03","16.01848E-03"
"352","2.1966E+06","16.87188E-03","16.07333E-03"
"353","2.2028E+06","16.92454E-03","16.12675E-03"
"354","2.2091E+06","16.97810E-03","16.18309E-03"
"355","2.2153E+06","17.03846E-03","16.24525E-03"
"356","2.2216E+06","17.09895E-03","16.30675E-03"
"357","2.2278E+06","17.15815E-03","16.36701E-03"
"358","2.2341E+06","17.21835E-03","16.42852E-03"
"359","2.2404E+06","17.28260E-03","16.49437E-03"
"360","2.2466E+06","17.34963E-03","16.56226E-03"
"361","2.2529E+06","17.42247E-03","16.63364E-03"
"362","2.2591E+06","17.49067E-03","16.69856E-03"
"363","2.2654E+06","17.55536E-03","16.75937E-03"
"364","2.2716E+06","17.61181E-03","16.81126E-03"
"365","2.2779E+06","17.66944E-03","16.86455E-03"
"366","2.2842E+06","17.72022E-03","16.91069E-03"
"367","2.2904E+06","17.76464E-03","16.95272E-03"
"368","2.2967E+06","17.80919E-03","16.99505E-03"
"369","2.3029E+06","17.84763E-03","17.03358E-03"
"370","2.3092E+06","17.89083E-03","17.07722E-03"
"371","2.3154E+06","17.92963E-03","17.11787E-03"
"372","2.3217E+06","17.97421E-03","17.16543E-03"
"373","2.3280E+06","18.02258E-03","17.21708E-03"
"374","2.3342E+06","18.07110E-03","17.26957E-03"
"375","2.3405E+06","18.12856E-03","17.33034E-03"
"376","2.3467E+06","18.18706E-03","17.39127E-03"
"377","2.3530E+06","18.24819E-03","17.45374E-03"
"378","2.3593E+06","18.31376E-03","17.51887E-03"
"379","2.3655E+06","18.37228E-03","17.57460E-03"
"380","2.3718E+06","18.42686E-03","17.62553E-03"
"381","2.3780E+06","18.46753E-03","17.66364E-03"
"382","2.3843E+06","18.50606E-03","17.70200E-03"
"383","2.3905E+06","18.54028E-03","17.73726E-03"
"384","2.3968E+06","18.57451E-03","17.77597E-03"
"385","2.4031E+06","18.61555E-03","17.82304E-03"
"386","2.4093E+06","18.66043E-03","17.87452E-03"
"387","2.4156E+06","18.71374E-03","17.93419E-03"
"388","2.4218E+06","18.77045E-03","17.99684E-03"
"389","2.4281E+06","18.83250E-03","18.06322E-03"
"390","2.4343E+06","18.89830E-03","18.13226E-03"
"391","2.4406E+06","18.96218E-03","18.19883E-03"
"392","2.4469E+06","19.02685E-03","18.26487E-03"
"393","2.4531E+06","19.08673E-03","18.32571E-03"
"394","2.4594E+06","19.14772E-03","18.38732E-03"
"395","2.4656E+06","19.20785E-03","18.44822E-03"
"396","2.4719E+06","19.26414E-03","18.50469E-03"
"397","2.4781E+06","19.31618E-03","18.55769E-03"
"398","2.4844E+06","19.36646E-03","18.60967E-03"
"399","2.4907E+06","19.41870E-03","18.66552E-03"
"400","2.4969E+06","19.47204E-03","18.72271E-03"
"401","2.5032E+06","19.53102E-03","18.78623E-03"
"402","2.5094E+06","19.59611E-03","18.85419E-03"
"403","2.5157E+06","19.65741E-03","18.91816E-03"
"404","2.5220E+06","19.72263E-03","18.98638E-03"
"405","2.5282E+06","19.79154E-03","19.05816E-03"
"406","2.5345E+06","19.85782E-03","19.12537E-03"
"407","2.5407E+06","19.92161E-03","19.19005E-03"
"408","2.5470E+06","19.99178E-03","19.26188E-03"
"409","2.5532E+06","20.05818E-03","19.32870E-03"
"410","2.5595E+06","20.12725E-03","19.39651E-03"
"411","2.5658E+06","20.18921E-03","19.45649E-03"
"412","2.5720E+06","20.24603E-03","19.51393E-03"
"413","2.5783E+06","20.30513E-03","19.57361E-03"
"414","2.5845E+06","20.36313E-03","19.63258E-03"
"415","2.5908E+06","20.42478E-03","19.69548E-03"
"416","2.5970E+06","20.48194E-03","19.75419E-03"
"417","2.6033E+06","20.54182E-03","19.81579E-03"
"418","2.6096E+06","20.60565E-03","19.88132E-03"
