"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:13:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","G[S]","B[S]"
"207","21.718E+03","5.566969E-06","330.9428E-06"
"208","21.874E+03","5.583749E-06","333.3757E-06"
"209","22.030E+03","5.646922E-06","335.8138E-06"
"210","22.188E+03","5.678304E-06","338.2665E-06"
"211","22.347E+03","5.734539E-06","340.7469E-06"
"212","22.507E+03","5.778378E-06","343.2383E-06"
"213","22.668E+03","5.822932E-06","345.7679E-06"
"214","22.830E+03","5.867544E-06","348.2870E-06"
"215","22.993E+03","5.889888E-06","350.8784E-06"
"216","23.158E+03","5.939562E-06","353.4475E-06"
"217","23.323E+03","5.999145E-06","356.0512E-06"
"218","23.490E+03","6.060664E-06","358.6512E-06"
"219","23.658E+03","6.101243E-06","361.2753E-06"
"220","23.828E+03","6.124046E-06","363.9755E-06"
"221","23.998E+03","6.158477E-06","366.6553E-06"
"222","24.170E+03","6.211204E-06","369.3636E-06"
"223","24.343E+03","6.277265E-06","372.0881E-06"
"224","24.517E+03","6.326388E-06","374.8286E-06"
"225","24.692E+03","6.370717E-06","377.5918E-06"
"226","24.869E+03","6.427913E-06","380.3979E-06"
"227","25.047E+03","6.466036E-06","383.2235E-06"
"228","25.226E+03","6.534729E-06","386.0483E-06"
"229","25.407E+03","6.573799E-06","388.9408E-06"
"230","25.589E+03","6.630671E-06","391.8147E-06"
"231","25.772E+03","6.675920E-06","394.7330E-06"
"232","25.956E+03","6.723430E-06","397.6686E-06"
"233","26.142E+03","6.794252E-06","400.5925E-06"
"234","26.329E+03","6.840462E-06","403.6077E-06"
"235","26.517E+03","6.892373E-06","406.5925E-06"
"236","26.707E+03","6.934167E-06","409.6343E-06"
"237","26.898E+03","7.018036E-06","412.6844E-06"
"238","27.091E+03","7.054839E-06","415.7749E-06"
"239","27.284E+03","7.110078E-06","418.8792E-06"
"240","27.480E+03","7.159677E-06","422.0458E-06"
"241","27.676E+03","7.258166E-06","425.1766E-06"
"242","27.874E+03","7.297669E-06","428.3892E-06"
"243","28.074E+03","7.371141E-06","431.6071E-06"
"244","28.275E+03","7.432944E-06","434.9331E-06"
"245","28.477E+03","7.495291E-06","438.2214E-06"
"246","28.681E+03","7.586118E-06","441.5589E-06"
"247","28.886E+03","7.637902E-06","444.9620E-06"
"248","29.093E+03","7.827870E-06","448.4727E-06"
"249","29.301E+03","8.159379E-06","451.9752E-06"
"250","29.510E+03","8.769738E-06","455.2935E-06"
"251","29.721E+03","9.208732E-06","457.8244E-06"
"252","29.934E+03","8.459629E-06","460.8289E-06"
"253","30.148E+03","8.248472E-06","464.5543E-06"
"254","30.364E+03","8.212057E-06","468.1910E-06"
"255","30.581E+03","8.223151E-06","471.8611E-06"
"256","30.800E+03","8.269576E-06","475.4932E-06"
"257","31.021E+03","8.375172E-06","479.2743E-06"
"258","31.242E+03","8.581148E-06","482.9619E-06"
"259","31.466E+03","8.808267E-06","486.5246E-06"
"260","31.691E+03","8.815660E-06","489.9775E-06"
"261","31.918E+03","8.711590E-06","493.7662E-06"
"262","32.146E+03","8.780861E-06","497.5866E-06"
"263","32.376E+03","8.857036E-06","501.3891E-06"
"264","32.608E+03","8.896822E-06","505.2463E-06"
"265","32.841E+03","8.983675E-06","509.1175E-06"
"266","33.076E+03","9.034335E-06","513.0043E-06"
"267","33.313E+03","9.078250E-06","516.9892E-06"
"268","33.551E+03","9.178990E-06","520.9680E-06"
"269","33.791E+03","9.227080E-06","524.9870E-06"
"270","34.033E+03","9.327674E-06","529.0690E-06"
"271","34.277E+03","9.401102E-06","533.1346E-06"
"272","34.522E+03","9.500766E-06","537.2623E-06"
"273","34.769E+03","9.546617E-06","541.4554E-06"
"274","35.018E+03","9.634879E-06","545.6510E-06"
"275","35.268E+03","9.706221E-06","549.8976E-06"
"276","35.521E+03","9.784509E-06","554.2238E-06"
"277","35.775E+03","9.903752E-06","558.5410E-06"
"278","36.031E+03","9.981553E-06","562.8919E-06"
"279","36.289E+03","10.03606E-06","567.3096E-06"
"280","36.548E+03","10.18293E-06","571.7297E-06"
"281","36.810E+03","10.25899E-06","576.2759E-06"
"282","37.073E+03","10.36813E-06","580.8082E-06"
"283","37.338E+03","10.43967E-06","585.3775E-06"
"284","37.606E+03","10.57372E-06","590.0010E-06"
"285","37.875E+03","10.68745E-06","594.6572E-06"
"286","38.146E+03","10.82736E-06","599.3899E-06"
"287","38.419E+03","10.90882E-06","604.1654E-06"
"288","38.693E+03","11.02964E-06","608.9502E-06"
"289","38.970E+03","11.16152E-06","613.8069E-06"
"290","39.249E+03","11.29687E-06","618.7146E-06"
"291","39.530E+03","11.40384E-06","623.6278E-06"
"292","39.813E+03","11.55193E-06","628.6039E-06"
"293","40.098E+03","11.68042E-06","633.6318E-06"
"294","40.385E+03","11.79137E-06","638.6998E-06"
"295","40.674E+03","11.91107E-06","643.8125E-06"
"296","40.965E+03","11.97100E-06","648.9741E-06"
"297","41.258E+03","12.07014E-06","654.2243E-06"
"298","41.553E+03","12.15550E-06","659.5582E-06"
